#
#  Stripped version of finals.all.orig file
#
#
#           Bull A  Bull A  Bull B  Bull B
#  MJD        dX      dY      dX      dY
#
41787.00    48.11   -1.192  0.000   0.000
41788.00    48.103  -1.063  0.000   0.000
41789.00    48.13   -1.09   0.000   0.000
41790.00    48.23   -1.274  0.000   0.000
41791.00    48.307  -1.497  0.000   0.000
41792.00    48.285  -1.633  0.000   0.000
41793.00    48.252  -1.673  0.000   0.000
41794.00    48.328  -1.729  0.000   0.000
41795.00    48.496  -1.89   0.000   0.000
41796.00    48.672  -2.069  0.000   0.000
41797.00    48.855  -2.076  0.000   0.000
41798.00    49.072  -1.865  0.000   0.000
41799.00    49.227  -1.639  0.000   0.000
41800.00    49.192  -1.624  0.000   0.000
41801.00    49.002  -1.766  0.000   0.000
41802.00    48.804  -1.785  0.000   0.000
41803.00    48.609  -1.553  0.000   0.000
41804.00    48.303  -1.283  0.000   0.000
41805.00    47.912  -1.272  0.000   0.000
41806.00    47.676  -1.556  0.000   0.000
41807.00    47.783  -1.901  0.000   0.000
41808.00    48.144  -2.105  0.000   0.000
41809.00    48.506  -2.159  0.000   0.000
41810.00    48.682  -2.135  0.000   0.000
41811.00    48.646  -2.059  0.000   0.000
41812.00    48.495  -1.934  0.000   0.000
41813.00    48.38   -1.805  0.000   0.000
41814.00    48.391  -1.724  0.000   0.000
41815.00    48.47   -1.681  0.000   0.000
41816.00    48.493  -1.642  0.000   0.000
41817.00    48.429  -1.642  0.000   0.000
41818.00    48.338  -1.764  0.000   0.000
41819.00    48.257  -2.005  0.000   0.000
41820.00    48.19   -2.232  0.000   0.000
41821.00    48.184  -2.313  0.000   0.000
41822.00    48.271  -2.27   0.000   0.000
41823.00    48.355  -2.237  0.000   0.000
41824.00    48.321  -2.263  0.000   0.000
41825.00    48.237  -2.235  0.000   0.000
41826.00    48.279  -2.059  0.000   0.000
41827.00    48.438  -1.855  0.000   0.000
41828.00    48.477  -1.837  0.000   0.000
41829.00    48.233  -2.004  0.000   0.000
41830.00    47.789  -2.097  0.000   0.000
41831.00    47.316  -1.928  0.000   0.000
41832.00    46.906  -1.643  0.000   0.000
41833.00    46.634  -1.536  0.000   0.000
41834.00    46.601  -1.673  0.000   0.000
41835.00    46.812  -1.851  0.000   0.000
41836.00    47.124  -1.909  0.000   0.000
41837.00    47.384  -1.899  0.000   0.000
41838.00    47.513  -1.906  0.000   0.000
41839.00    47.43   -1.863  0.000   0.000
41840.00    47.075  -1.675  0.000   0.000
41841.00    46.583  -1.423  0.000   0.000
41842.00    46.25   -1.296  0.000   0.000
41843.00    46.209  -1.348  0.000   0.000
41844.00    46.255  -1.447  0.000   0.000
41845.00    46.116  -1.494  0.000   0.000
41846.00    45.778  -1.564  0.000   0.000
41847.00    45.432  -1.753  0.000   0.000
41848.00    45.234  -1.978  0.000   0.000
41849.00    45.208  -2.043  0.000   0.000
41850.00    45.288  -1.886  0.000   0.000
41851.00    45.332  -1.668  0.000   0.000
41852.00    45.194  -1.573  0.000   0.000
41853.00    44.903  -1.6    0.000   0.000
41854.00    44.673  -1.617  0.000   0.000
41855.00    44.646  -1.579  0.000   0.000
41856.00    44.685  -1.573  0.000   0.000
41857.00    44.53   -1.64   0.000   0.000
41858.00    44.084  -1.662  0.000   0.000
41859.00    43.488  -1.528  0.000   0.000
41860.00    42.99   -1.336  0.000   0.000
41861.00    42.793  -1.289  0.000   0.000
41862.00    42.935  -1.412  0.000   0.000
41863.00    43.238  -1.515  0.000   0.000
41864.00    43.467  -1.477  0.000   0.000
41865.00    43.568  -1.406  0.000   0.000
41866.00    43.619  -1.435  0.000   0.000
41867.00    43.555  -1.481  0.000   0.000
41868.00    43.148  -1.365  0.000   0.000
41869.00    42.41   -1.11   0.000   0.000
41870.00    41.75   -0.951  0.000   0.000
41871.00    41.54   -1.025  0.000   0.000
41872.00    41.654  -1.203  0.000   0.000
41873.00    41.661  -1.301  0.000   0.000
41874.00    41.377  -1.323  0.000   0.000
41875.00    41.003  -1.397  0.000   0.000
41876.00    40.774  -1.523  0.000   0.000
41877.00    40.719  -1.543  0.000   0.000
41878.00    40.75   -1.368  0.000   0.000
41879.00    40.772  -1.121  0.000   0.000
41880.00    40.683  -1.011  0.000   0.000
41881.00    40.421  -1.103  0.000   0.000
41882.00    40.073  -1.28   0.000   0.000
41883.00    39.825  -1.4    0.000   0.000
41884.00    39.743  -1.425  0.000   0.000
41885.00    39.684  -1.388  0.000   0.000
41886.00    39.458  -1.31   0.000   0.000
41887.00    39.044  -1.212  0.000   0.000
41888.00    38.635  -1.178  0.000   0.000
41889.00    38.475  -1.3    0.000   0.000
41890.00    38.632  -1.529  0.000   0.000
41891.00    38.911  -1.67   0.000   0.000
41892.00    39.057  -1.601  0.000   0.000
41893.00    39.048  -1.422  0.000   0.000
41894.00    39.042  -1.32   0.000   0.000
41895.00    39.03   -1.312  0.000   0.000
41896.00    38.75   -1.259  0.000   0.000
41897.00    38.079  -1.104  0.000   0.000
41898.00    37.356  -0.98   0.000   0.000
41899.00    37.053  -1.016  0.000   0.000
41900.00    37.223  -1.147  0.000   0.000
41901.00    37.493  -1.221  0.000   0.000
41902.00    37.566  -1.207  0.000   0.000
41903.00    37.487  -1.2    0.000   0.000
41904.00    37.412  -1.241  0.000   0.000
41905.00    37.363  -1.248  0.000   0.000
41906.00    37.3    -1.156  0.000   0.000
41907.00    37.253  -1.025  0.000   0.000
41908.00    37.235  -0.981  0.000   0.000
41909.00    37.148  -1.064  0.000   0.000
41910.00    36.897  -1.202  0.000   0.000
41911.00    36.55   -1.292  0.000   0.000
41912.00    36.278  -1.285  0.000   0.000
41913.00    36.167  -1.206  0.000   0.000
41914.00    36.149  -1.113  0.000   0.000
41915.00    36.119  -1.077  0.000   0.000
41916.00    36.066  -1.158  0.000   0.000
41917.00    36.072  -1.377  0.000   0.000
41918.00    36.178  -1.657  0.000   0.000
41919.00    36.302  -1.839  0.000   0.000
41920.00    36.331  -1.793  0.000   0.000
41921.00    36.274  -1.543  0.000   0.000
41922.00    36.251  -1.253  0.000   0.000
41923.00    36.267  -1.065  0.000   0.000
41924.00    36.134  -0.987  0.000   0.000
41925.00    35.708  -0.958  0.000   0.000
41926.00    35.162  -0.955  0.000   0.000
41927.00    34.859  -0.99   0.000   0.000
41928.00    34.981  -1.038  0.000   0.000
41929.00    35.383  -1.053  0.000   0.000
41930.00    35.812  -1.041  0.000   0.000
41931.00    36.129  -1.055  0.000   0.000
41932.00    36.294  -1.103  0.000   0.000
41933.00    36.287  -1.135  0.000   0.000
41934.00    36.14   -1.123  0.000   0.000
41935.00    35.984  -1.115  0.000   0.000
41936.00    35.929  -1.153  0.000   0.000
41937.00    35.93   -1.203  0.000   0.000
41938.00    35.836  -1.194  0.000   0.000
41939.00    35.575  -1.11   0.000   0.000
41940.00    35.255  -0.996  0.000   0.000
41941.00    35.063  -0.901  0.000   0.000
41942.00    35.106  -0.851  0.000   0.000
41943.00    35.349  -0.862  0.000   0.000
41944.00    35.671  -0.95   0.000   0.000
41945.00    35.952  -1.113  0.000   0.000
41946.00    36.134  -1.315  0.000   0.000
41947.00    36.213  -1.471  0.000   0.000
41948.00    36.226  -1.476  0.000   0.000
41949.00    36.225  -1.273  0.000   0.000
41950.00    36.241  -0.933  0.000   0.000
41951.00    36.243  -0.625  0.000   0.000
41952.00    36.159  -0.491  0.000   0.000
41953.00    35.95   -0.542  0.000   0.000
41954.00    35.683  -0.681  0.000   0.000
41955.00    35.517  -0.796  0.000   0.000
41956.00    35.609  -0.833  0.000   0.000
41957.00    36.017  -0.814  0.000   0.000
41958.00    36.629  -0.805  0.000   0.000
41959.00    37.213  -0.849  0.000   0.000
41960.00    37.556  -0.911  0.000   0.000
41961.00    37.6    -0.92   0.000   0.000
41962.00    37.446  -0.881  0.000   0.000
41963.00    37.245  -0.885  0.000   0.000
41964.00    37.102  -0.977  0.000   0.000
41965.00    37.042  -1.063  0.000   0.000
41966.00    37.031  -1.003  0.000   0.000
41967.00    37.007  -0.791  0.000   0.000
41968.00    36.954  -0.561  0.000   0.000
41969.00    36.937  -0.429  0.000   0.000
41970.00    37.043  -0.391  0.000   0.000
41971.00    37.283  -0.383  0.000   0.000
41972.00    37.574  -0.385  0.000   0.000
41973.00    37.828  -0.427  0.000   0.000
41974.00    38.023  -0.522  0.000   0.000
41975.00    38.185  -0.62   0.000   0.000
41976.00    38.342  -0.634  0.000   0.000
41977.00    38.486  -0.494  0.000   0.000
41978.00    38.559  -0.216  0.000   0.000
41979.00    38.511  0.08    0.000   0.000
41980.00    38.369  0.243   0.000   0.000
41981.00    38.235  0.206   0.000   0.000
41982.00    38.179  0.031   0.000   0.000
41983.00    38.212  -0.141  0.000   0.000
41984.00    38.373  -0.207  0.000   0.000
41985.00    38.756  -0.167  0.000   0.000
41986.00    39.353  -0.103  0.000   0.000
41987.00    39.94   -0.083  0.000   0.000
41988.00    40.252  -0.079  0.000   0.000
41989.00    40.248  -0.008  0.000   0.000
41990.00    40.092  0.127   0.000   0.000
41991.00    39.917  0.188   0.000   0.000
41992.00    39.731  0.072   0.000   0.000
41993.00    39.552  -0.116  0.000   0.000
41994.00    39.482  -0.147  0.000   0.000
41995.00    39.596  0.06    0.000   0.000
41996.00    39.861  0.336   0.000   0.000
41997.00    40.194  0.487   0.000   0.000
41998.00    40.509  0.512   0.000   0.000
41999.00    40.699  0.533   0.000   0.000
42000.00    40.689  0.589   0.000   0.000
42001.00    40.555  0.593   0.000   0.000
42002.00    40.495  0.499   0.000   0.000
42003.00    40.625  0.398   0.000   0.000
42004.00    40.87   0.418   0.000   0.000
42005.00    41.069  0.588   0.000   0.000
42006.00    41.114  0.828   0.000   0.000
42007.00    40.995  1.04    0.000   0.000
42008.00    40.787  1.161   0.000   0.000
42009.00    40.62   1.162   0.000   0.000
42010.00    40.598  1.053   0.000   0.000
42011.00    40.715  0.905   0.000   0.000
42012.00    40.934  0.829   0.000   0.000
42013.00    41.279  0.889   0.000   0.000
42014.00    41.744  1.032   0.000   0.000
42015.00    42.157  1.153   0.000   0.000
42016.00    42.298  1.218   0.000   0.000
42017.00    42.167  1.301   0.000   0.000
42018.00    41.979  1.442   0.000   0.000
42019.00    41.86   1.532   0.000   0.000
42020.00    41.731  1.43    0.000   0.000
42021.00    41.515  1.201   0.000   0.000
42022.00    41.311  1.094   0.000   0.000
42023.00    41.281  1.245   0.000   0.000
42024.00    41.489  1.491   0.000   0.000
42025.00    41.9    1.585   0.000   0.000
42026.00    42.391  1.508   0.000   0.000
42027.00    42.74   1.444   0.000   0.000
42028.00    42.751  1.474   0.000   0.000
42029.00    42.499  1.469   0.000   0.000
42030.00    42.301  1.33    0.000   0.000
42031.00    42.358  1.184   0.000   0.000
42032.00    42.537  1.228   0.000   0.000
42033.00    42.603  1.462   0.000   0.000
42034.00    42.509  1.696   0.000   0.000
42035.00    42.35   1.793   0.000   0.000
42036.00    42.178  1.784   0.000   0.000
42037.00    42.000  1.749   0.000   0.000
42038.00    41.879  1.69    0.000   0.000
42039.00    41.897  1.591   0.000   0.000
42040.00    42.071  1.522   0.000   0.000
42041.00    42.365  1.587   0.000   0.000
42042.00    42.717  1.779   0.000   0.000
42043.00    42.993  1.955   0.000   0.000
42044.00    43.04   2.006   0.000   0.000
42045.00    42.865  1.983   0.000   0.000
42046.00    42.663  2.001   0.000   0.000
42047.00    42.577  2.053   0.000   0.000
42048.00    42.536  2.028   0.000   0.000
42049.00    42.386  1.917   0.000   0.000
42050.00    42.104  1.876   0.000   0.000
42051.00    41.796  2.011   0.000   0.000
42052.00    41.601  2.176   0.000   0.000
42053.00    41.651  2.135   0.000   0.000
42054.00    41.997  1.89    0.000   0.000
42055.00    42.478  1.691   0.000   0.000
42056.00    42.808  1.697   0.000   0.000
42057.00    42.893  1.772   0.000   0.000
42058.00    42.921  1.726   0.000   0.000
42059.00    43.036  1.61    0.000   0.000
42060.00    43.106  1.629   0.000   0.000
42061.00    42.96   1.814   0.000   0.000
42062.00    42.702  1.961   0.000   0.000
42063.00    42.551  1.913   0.000   0.000
42064.00    42.501  1.745   0.000   0.000
42065.00    42.372  1.61    0.000   0.000
42066.00    42.14   1.53    0.000   0.000
42067.00    42.000  1.434   0.000   0.000
42068.00    42.095  1.347   0.000   0.000
42069.00    42.37   1.385   0.000   0.000
42070.00    42.684  1.572   0.000   0.000
42071.00    42.926  1.757   0.000   0.000
42072.00    43.013  1.775   0.000   0.000
42073.00    42.924  1.642   0.000   0.000
42074.00    42.756  1.513   0.000   0.000
42075.00    42.646  1.491   0.000   0.000
42076.00    42.608  1.536   0.000   0.000
42077.00    42.526  1.583   0.000   0.000
42078.00    42.286  1.647   0.000   0.000
42079.00    41.889  1.741   0.000   0.000
42080.00    41.451  1.752   0.000   0.000
42081.00    41.179  1.531   0.000   0.000
42082.00    41.248  1.134   0.000   0.000
42083.00    41.62   0.845   0.000   0.000
42084.00    42.053  0.877   0.000   0.000
42085.00    42.366  1.122   0.000   0.000
42086.00    42.585  1.301   0.000   0.000
42087.00    42.752  1.300   0.000   0.000
42088.00    42.759  1.237   0.000   0.000
42089.00    42.532  1.215   0.000   0.000
42090.00    42.258  1.163   0.000   0.000
42091.00    42.183  0.995   0.000   0.000
42092.00    42.254  0.768   0.000   0.000
42093.00    42.2    0.601   0.000   0.000
42094.00    41.966  0.495   0.000   0.000
42095.00    41.819  0.369   0.000   0.000
42096.00    41.977  0.235   0.000   0.000
42097.00    42.344  0.216   0.000   0.000
42098.00    42.693  0.359   0.000   0.000
42099.00    42.928  0.533   0.000   0.000
42100.00    43.065  0.565   0.000   0.000
42101.00    43.098  0.431   0.000   0.000
42102.00    43.02   0.263   0.000   0.000
42103.00    42.899  0.188   0.000   0.000
42104.00    42.814  0.218   0.000   0.000
42105.00    42.76   0.287   0.000   0.000
42106.00    42.654  0.333   0.000   0.000
42107.00    42.447  0.309   0.000   0.000
42108.00    42.193  0.15    0.000   0.000
42109.00    42.03   -0.189  0.000   0.000
42110.00    42.079  -0.62   0.000   0.000
42111.00    42.323  -0.906  0.000   0.000
42112.00    42.607  -0.845  0.000   0.000
42113.00    42.798  -0.495  0.000   0.000
42114.00    42.895  -0.139  0.000   0.000
42115.00    42.943  -0.023  0.000   0.000
42116.00    42.915  -0.159  0.000   0.000
42117.00    42.797  -0.399  0.000   0.000
42118.00    42.704  -0.623  0.000   0.000
42119.00    42.75   -0.791  0.000   0.000
42120.00    42.845  -0.893  0.000   0.000
42121.00    42.795  -0.943  0.000   0.000
42122.00    42.62   -1.011  0.000   0.000
42123.00    42.601  -1.158  0.000   0.000
42124.00    42.912  -1.331  0.000   0.000
42125.00    43.394  -1.393  0.000   0.000
42126.00    43.753  -1.298  0.000   0.000
42127.00    43.896  -1.153  0.000   0.000
42128.00    43.931  -1.099  0.000   0.000
42129.00    43.944  -1.155  0.000   0.000
42130.00    43.909  -1.236  0.000   0.000
42131.00    43.802  -1.277  0.000   0.000
42132.00    43.678  -1.29   0.000   0.000
42133.00    43.611  -1.327  0.000   0.000
42134.00    43.617  -1.415  0.000   0.000
42135.00    43.662  -1.559  0.000   0.000
42136.00    43.72   -1.767  0.000   0.000
42137.00    43.804  -2.037  0.000   0.000
42138.00    43.947  -2.323  0.000   0.000
42139.00    44.14   -2.508  0.000   0.000
42140.00    44.313  -2.462  0.000   0.000
42141.00    44.379  -2.172  0.000   0.000
42142.00    44.321  -1.813  0.000   0.000
42143.00    44.201  -1.636  0.000   0.000
42144.00    44.112  -1.758  0.000   0.000
42145.00    44.124  -2.066  0.000   0.000
42146.00    44.244  -2.336  0.000   0.000
42147.00    44.388  -2.424  0.000   0.000
42148.00    44.422  -2.349  0.000   0.000
42149.00    44.295  -2.249  0.000   0.000
42150.00    44.145  -2.268  0.000   0.000
42151.00    44.197  -2.435  0.000   0.000
42152.00    44.526  -2.632  0.000   0.000
42153.00    44.958  -2.704  0.000   0.000
42154.00    45.229  -2.623  0.000   0.000
42155.00    45.224  -2.516  0.000   0.000
42156.00    45.042  -2.495  0.000   0.000
42157.00    44.843  -2.528  0.000   0.000
42158.00    44.693  -2.507  0.000   0.000
42159.00    44.557  -2.427  0.000   0.000
42160.00    44.413  -2.4    0.000   0.000
42161.00    44.33   -2.516  0.000   0.000
42162.00    44.397  -2.735  0.000   0.000
42163.00    44.612  -2.942  0.000   0.000
42164.00    44.856  -3.06   0.000   0.000
42165.00    45.006  -3.102  0.000   0.000
42166.00    45.051  -3.122  0.000   0.000
42167.00    45.085  -3.14   0.000   0.000
42168.00    45.178  -3.11   0.000   0.000
42169.00    45.285  -2.968  0.000   0.000
42170.00    45.283  -2.742  0.000   0.000
42171.00    45.127  -2.576  0.000   0.000
42172.00    44.938  -2.611  0.000   0.000
42173.00    44.9    -2.829  0.000   0.000
42174.00    45.05   -3.057  0.000   0.000
42175.00    45.225  -3.122  0.000   0.000
42176.00    45.247  -3.008  0.000   0.000
42177.00    45.125  -2.86   0.000   0.000
42178.00    45.019  -2.846  0.000   0.000
42179.00    45.046  -2.998  0.000   0.000
42180.00    45.195  -3.182  0.000   0.000
42181.00    45.385  -3.228  0.000   0.000
42182.00    45.511  -3.119  0.000   0.000
42183.00    45.452  -3.01   0.000   0.000
42184.00    45.147  -3.032  0.000   0.000
42185.00    44.695  -3.108  0.000   0.000
42186.00    44.289  -3.055  0.000   0.000
42187.00    44.03   -2.848  0.000   0.000
42188.00    43.889  -2.686  0.000   0.000
42189.00    43.849  -2.76   0.000   0.000
42190.00    43.978  -3.022  0.000   0.000
42191.00    44.281  -3.24   0.000   0.000
42192.00    44.586  -3.251  0.000   0.000
42193.00    44.673  -3.086  0.000   0.000
42194.00    44.498  -2.882  0.000   0.000
42195.00    44.226  -2.737  0.000   0.000
42196.00    44.069  -2.659  0.000   0.000
42197.00    44.081  -2.607  0.000   0.000
42198.00    44.123  -2.544  0.000   0.000
42199.00    44.013  -2.486  0.000   0.000
42200.00    43.737  -2.491  0.000   0.000
42201.00    43.476  -2.592  0.000   0.000
42202.00    43.39   -2.748  0.000   0.000
42203.00    43.438  -2.852  0.000   0.000
42204.00    43.475  -2.829  0.000   0.000
42205.00    43.459  -2.712  0.000   0.000
42206.00    43.439  -2.624  0.000   0.000
42207.00    43.4    -2.659  0.000   0.000
42208.00    43.285  -2.77   0.000   0.000
42209.00    43.153  -2.811  0.000   0.000
42210.00    43.119  -2.716  0.000   0.000
42211.00    43.109  -2.602  0.000   0.000
42212.00    42.864  -2.623  0.000   0.000
42213.00    42.283  -2.735  0.000   0.000
42214.00    41.601  -2.723  0.000   0.000
42215.00    41.133  -2.496  0.000   0.000
42216.00    40.981  -2.251  0.000   0.000
42217.00    41.067  -2.249  0.000   0.000
42218.00    41.313  -2.484  0.000   0.000
42219.00    41.637  -2.689  0.000   0.000
42220.00    41.876  -2.659  0.000   0.000
42221.00    41.859  -2.437  0.000   0.000
42222.00    41.552  -2.187  0.000   0.000
42223.00    41.071  -1.986  0.000   0.000
42224.00    40.592  -1.838  0.000   0.000
42225.00    40.266  -1.767  0.000   0.000
42226.00    40.148  -1.819  0.000   0.000
42227.00    40.115  -1.959  0.000   0.000
42228.00    39.97   -2.094  0.000   0.000
42229.00    39.657  -2.176  0.000   0.000
42230.00    39.329  -2.247  0.000   0.000
42231.00    39.149  -2.332  0.000   0.000
42232.00    39.134  -2.365  0.000   0.000
42233.00    39.202  -2.263  0.000   0.000
42234.00    39.257  -2.069  0.000   0.000
42235.00    39.185  -1.942  0.000   0.000
42236.00    38.916  -1.978  0.000   0.000
42237.00    38.579  -2.095  0.000   0.000
42238.00    38.425  -2.147  0.000   0.000
42239.00    38.479  -2.122  0.000   0.000
42240.00    38.418  -2.139  0.000   0.000
42241.00    37.945  -2.237  0.000   0.000
42242.00    37.181  -2.28   0.000   0.000
42243.00    36.551  -2.161  0.000   0.000
42244.00    36.355  -2.000  0.000   0.000
42245.00    36.571  -2.015  0.000   0.000
42246.00    36.975  -2.212  0.000   0.000
42247.00    37.31   -2.356  0.000   0.000
42248.00    37.402  -2.274  0.000   0.000
42249.00    37.243  -2.058  0.000   0.000
42250.00    36.943  -1.879  0.000   0.000
42251.00    36.55   -1.748  0.000   0.000
42252.00    36.02   -1.579  0.000   0.000
42253.00    35.445  -1.427  0.000   0.000
42254.00    35.112  -1.465  0.000   0.000
42255.00    35.18   -1.731  0.000   0.000
42256.00    35.413  -2.03   0.000   0.000
42257.00    35.435  -2.161  0.000   0.000
42258.00    35.179  -2.138  0.000   0.000
42259.00    34.905  -2.096  0.000   0.000
42260.00    34.827  -2.062  0.000   0.000
42261.00    34.913  -1.938  0.000   0.000
42262.00    34.999  -1.7    0.000   0.000
42263.00    34.949  -1.504  0.000   0.000
42264.00    34.709  -1.521  0.000   0.000
42265.00    34.374  -1.735  0.000   0.000
42266.00    34.161  -1.957  0.000   0.000
42267.00    34.188  -2.055  0.000   0.000
42268.00    34.267  -2.07   0.000   0.000
42269.00    34.08   -2.1    0.000   0.000
42270.00    33.561  -2.146  0.000   0.000
42271.00    33.005  -2.159  0.000   0.000
42272.00    32.777  -2.181  0.000   0.000
42273.00    32.986  -2.301  0.000   0.000
42274.00    33.422  -2.475  0.000   0.000
42275.00    33.721  -2.51   0.000   0.000
42276.00    33.663  -2.309  0.000   0.000
42277.00    33.364  -2.032  0.000   0.000
42278.00    33.119  -1.89   0.000   0.000
42279.00    32.997  -1.863  0.000   0.000
42280.00    32.754  -1.769  0.000   0.000
42281.00    32.259  -1.581  0.000   0.000
42282.00    31.83   -1.506  0.000   0.000
42283.00    31.882  -1.688  0.000   0.000
42284.00    32.354  -1.987  0.000   0.000
42285.00    32.762  -2.14   0.000   0.000
42286.00    32.811  -2.079  0.000   0.000
42287.00    32.675  -1.945  0.000   0.000
42288.00    32.641  -1.847  0.000   0.000
42289.00    32.732  -1.744  0.000   0.000
42290.00    32.797  -1.59   0.000   0.000
42291.00    32.753  -1.47   0.000   0.000
42292.00    32.606  -1.516  0.000   0.000
42293.00    32.381  -1.725  0.000   0.000
42294.00    32.152  -1.944  0.000   0.000
42295.00    32.043  -2.035  0.000   0.000
42296.00    32.09   -2.002  0.000   0.000
42297.00    32.16   -1.949  0.000   0.000
42298.00    32.098  -1.957  0.000   0.000
42299.00    31.934  -2.042  0.000   0.000
42300.00    31.865  -2.204  0.000   0.000
42301.00    32.036  -2.418  0.000   0.000
42302.00    32.361  -2.583  0.000   0.000
42303.00    32.561  -2.543  0.000   0.000
42304.00    32.438  -2.256  0.000   0.000
42305.00    32.118  -1.903  0.000   0.000
42306.00    31.946  -1.726  0.000   0.000
42307.00    32.054  -1.762  0.000   0.000
42308.00    32.171  -1.814  0.000   0.000
42309.00    32.000  -1.735  0.000   0.000
42310.00    31.682  -1.606  0.000   0.000
42311.00    31.644  -1.598  0.000   0.000
42312.00    32.035  -1.718  0.000   0.000
42313.00    32.555  -1.817  0.000   0.000
42314.00    32.888  -1.805  0.000   0.000
42315.00    33.047  -1.74   0.000   0.000
42316.00    33.191  -1.701  0.000   0.000
42317.00    33.322  -1.682  0.000   0.000
42318.00    33.336  -1.655  0.000   0.000
42319.00    33.242  -1.647  0.000   0.000
42320.00    33.135  -1.698  0.000   0.000
42321.00    33.024  -1.776  0.000   0.000
42322.00    32.856  -1.794  0.000   0.000
