#  ser7.dat
#
#  This file comes from http://maia.usno.navy.mil (Click on General Information about Earth Orientation). This
#  file may also be directly downloaded from ftp://maia.usno.navy.mil/ser7/ser7.dat. See readme.ser7 (located
#  in the psLib/data directory) for details.
#
#  @author Ross Harman, MHPCC
#
#  @version $Revision: 1.1 $ $Name: not supported by cvs2svn $
#  @date $Date: 2006-09-23 02:20:18 $
#
#
#        MJD         PM-x        PM-y       UT1-UTC
#      (days)      (arcsec)    (arcsec)      (sec)
#        psF64        psF64       psF64       psF64
        53342       0.1911      0.3024     -0.50340
        53343       0.1901      0.3004     -0.50372
        53344       0.1890      0.2983     -0.50423
        53345       0.1880      0.2963     -0.50493
        53346       0.1869      0.2943     -0.50574
        53347       0.1858      0.2923     -0.50660
        53348       0.1846      0.2903     -0.50739
        53349       0.1835      0.2883     -0.50808
        53350       0.1823      0.2864     -0.50851
        53351       0.1811      0.2844     -0.50870
        53352       0.1799      0.2825     -0.50874
        53353       0.1786      0.2807     -0.50875
        53354       0.1773      0.2788     -0.50890
        53355       0.1760      0.2769     -0.50927
        53356       0.1747      0.2751     -0.50987
        53357       0.1734      0.2733     -0.51064
        53358       0.1720      0.2715     -0.51148
        53359       0.1707      0.2698     -0.51228
        53360       0.1693      0.2680     -0.51295
        53361       0.1679      0.2663     -0.51342
        53362       0.1664      0.2646     -0.51367
        53363       0.1650      0.2629     -0.51371
        53364       0.1635      0.2613     -0.51357
        53365       0.1620      0.2596     -0.51330
        53366       0.1605      0.2580     -0.51298
        53367       0.1590      0.2565     -0.51268
        53368       0.1575      0.2549     -0.51247
        53369       0.1559      0.2534     -0.51241
        53370       0.1543      0.2519     -0.51253
        53371       0.1528      0.2504     -0.51283
        53372       0.1511      0.2489     -0.51331
        53373       0.1495      0.2475     -0.51391
        53374       0.1479      0.2461     -0.51458
        53375       0.1463      0.2447     -0.51522
        53376       0.1446      0.2434     -0.51574
        53377       0.1429      0.2420     -0.51605
        53378       0.1412      0.2407     -0.51614
        53379       0.1395      0.2395     -0.51605
        53380       0.1378      0.2382     -0.51590
        53381       0.1361      0.2370     -0.51585
        53382       0.1344      0.2358     -0.51603
        53383       0.1326      0.2347     -0.51648
        53384       0.1308      0.2335     -0.51717
        53385       0.1291      0.2324     -0.51800
        53386       0.1273      0.2313     -0.51881
        53387       0.1255      0.2303     -0.51951
        53388       0.1237      0.2293     -0.52000
        53389       0.1219      0.2283     -0.52027
        53390       0.1200      0.2273     -0.52032
        53391       0.1182      0.2264     -0.52018
        53392       0.1164      0.2255     -0.51992
        53393       0.1145      0.2246     -0.51959
        53394       0.1126      0.2237     -0.51928
        53395       0.1108      0.2229     -0.51905
        53396       0.1089      0.2221     -0.51897
        53397       0.1070      0.2213     -0.51908
        53398       0.1051      0.2206     -0.51939
        53399       0.1032      0.2199     -0.51987
        53400       0.1013      0.2192     -0.52050
        53401       0.0994      0.2186     -0.52119
        53402       0.0975      0.2180     -0.52187
        53403       0.0956      0.2174     -0.52246
        53404       0.0936      0.2168     -0.52288
        53405       0.0917      0.2163     -0.52309
        53406       0.0898      0.2158     -0.52311
        53407       0.0878      0.2153     -0.52305
        53408       0.0859      0.2149     -0.52303
        53409       0.0840      0.2144     -0.52321
        53410       0.0820      0.2141     -0.52368
        53411       0.0801      0.2137     -0.52444
        53412       0.0781      0.2134     -0.52542
        53413       0.0761      0.2131     -0.52646
        53414       0.0742      0.2128     -0.52744
        53415       0.0722      0.2126     -0.52822
        53416       0.0703      0.2124     -0.52877
        53417       0.0683      0.2122     -0.52907
        53418       0.0663      0.2120     -0.52916
        53419       0.0644      0.2119     -0.52910
        53420       0.0624      0.2118     -0.52897
        53421       0.0605      0.2117     -0.52883
        53422       0.0585      0.2117     -0.52876
        53423       0.0566      0.2117     -0.52882
        53424       0.0546      0.2117     -0.52907
        53425       0.0526      0.2118     -0.52951
        53426       0.0507      0.2118     -0.53014
        53427       0.0487      0.2119     -0.53091
        53428       0.0468      0.2121     -0.53174
        53429       0.0449      0.2122     -0.53254
        53430       0.0429      0.2124     -0.53321
        53431       0.0410      0.2126     -0.53368
        53432       0.0391      0.2129     -0.53392
        53433       0.0372      0.2131     -0.53393
        53434       0.0352      0.2134     -0.53380
        53435       0.0333      0.2138     -0.53366
        53436       0.0314      0.2141     -0.53365
        53437       0.0296      0.2145     -0.53389
        53438       0.0277      0.2149     -0.53443
        53439       0.0258      0.2154     -0.53526
        53440       0.0239      0.2159     -0.53627
        53441       0.0221      0.2164     -0.53733
        53442       0.0202      0.2169     -0.53830
        53443       0.0184      0.2174     -0.53908
        53444       0.0166      0.2180     -0.53964
        53445       0.0147      0.2186     -0.53998
        53446       0.0129      0.2192     -0.54014
        53447       0.0111      0.2198     -0.54018
        53448       0.0093      0.2205     -0.54018
        53449       0.0076      0.2212     -0.54022
        53450       0.0058      0.2219     -0.54037
        53451       0.0040      0.2227     -0.54069
        53452       0.0023      0.2234     -0.54118
        53453       0.0005      0.2242     -0.54185
        53454      -0.0012      0.2250     -0.54266
        53455      -0.0029      0.2258     -0.54356
        53456      -0.0046      0.2267     -0.54447
        53457      -0.0063      0.2276     -0.54530
        53458      -0.0079      0.2285     -0.54598
        53459      -0.0096      0.2294     -0.54647
        53460      -0.0112      0.2303     -0.54675
        53461      -0.0128      0.2313     -0.54688
        53462      -0.0144      0.2323     -0.54699
        53463      -0.0160      0.2333     -0.54724
        53464      -0.0176      0.2343     -0.54775
        53465      -0.0191      0.2353     -0.54858
        53466      -0.0207      0.2364     -0.54970
        53467      -0.0222      0.2375     -0.55097
        53468      -0.0237      0.2386     -0.55228
        53469      -0.0252      0.2397     -0.55354
        53470      -0.0267      0.2408     -0.55465
        53471      -0.0281      0.2420     -0.55556
        53472      -0.0295      0.2431     -0.55626
        53473      -0.0310      0.2443     -0.55677
        53474      -0.0323      0.2455     -0.55715
        53475      -0.0337      0.2468     -0.55748
        53476      -0.0351      0.2480     -0.55785
        53477      -0.0364      0.2493     -0.55833
        53478      -0.0377      0.2505     -0.55899
        53479      -0.0390      0.2518     -0.55988
        53480      -0.0403      0.2531     -0.56095
        53481      -0.0415      0.2545     -0.56216
        53482      -0.0427      0.2558     -0.56347
        53483      -0.0439      0.2572     -0.56478
        53484      -0.0451      0.2585     -0.56599
        53485      -0.0463      0.2599     -0.56699
        53486      -0.0474      0.2613     -0.56769
        53487      -0.0485      0.2627     -0.56808
        53488      -0.0496      0.2641     -0.56824
        53489      -0.0507      0.2656     -0.56830
        53490      -0.0517      0.2670     -0.56839
        53491      -0.0527      0.2685     -0.56860
        53492      -0.0537      0.2700     -0.56897
        53493      -0.0547      0.2714     -0.56955
        53494      -0.0556      0.2729     -0.57032
        53495      -0.0565      0.2744     -0.57119
        53496      -0.0574      0.2760     -0.57204
        53497      -0.0583      0.2775     -0.57277
        53498      -0.0591      0.2790     -0.57329
        53499      -0.0600      0.2806     -0.57354
        53500      -0.0607      0.2821     -0.57350
        53501      -0.0615      0.2837     -0.57328
        53502      -0.0622      0.2853     -0.57298
        53503      -0.0630      0.2869     -0.57261
        53504      -0.0636      0.2885     -0.57218
        53505      -0.0643      0.2901     -0.57175
        53506      -0.0649      0.2917     -0.57143
        53507      -0.0655      0.2933     -0.57124
        53508      -0.0661      0.2949     -0.57117
        53509      -0.0667      0.2966     -0.57124
        53510      -0.0672      0.2982     -0.57139
        53511      -0.0677      0.2999     -0.57158
        53512      -0.0682      0.3015     -0.57166
        53513      -0.0686      0.3032     -0.57155
        53514      -0.0690      0.3048     -0.57116
        53515      -0.0694      0.3065     -0.57057
        53516      -0.0698      0.3082     -0.56989
        53517      -0.0701      0.3098     -0.56921
        53518      -0.0704      0.3115     -0.56860
        53519      -0.0707      0.3132     -0.56818
        53520      -0.0710      0.3149     -0.56799
        53521      -0.0712      0.3166     -0.56800
        53522      -0.0714      0.3183     -0.56809
        53523      -0.0716      0.3200     -0.56815
        53524      -0.0717      0.3217     -0.56808
        53525      -0.0718      0.3234     -0.56781
        53526      -0.0719      0.3251     -0.56728
        53527      -0.0720      0.3268     -0.56651
        53528      -0.0720      0.3285     -0.56557
        53529      -0.0720      0.3302     -0.56454
        53530      -0.0720      0.3319     -0.56347
        53531      -0.0720      0.3336     -0.56244
        53532      -0.0719      0.3353     -0.56148
        53533      -0.0718      0.3370     -0.56060
        53534      -0.0717      0.3387     -0.55990
        53535      -0.0715      0.3404     -0.55943
        53536      -0.0713      0.3421     -0.55916
        53537      -0.0711      0.3438     -0.55897
        53538      -0.0709      0.3455     -0.55881
        53539      -0.0707      0.3472     -0.55859
        53540      -0.0704      0.3489     -0.55820
        53541      -0.0701      0.3506     -0.55751
        53542      -0.0697      0.3523     -0.55650
        53543      -0.0694      0.3540     -0.55529
        53544      -0.0690      0.3557     -0.55402
        53545      -0.0686      0.3573     -0.55279
        53546      -0.0682      0.3590     -0.55173
        53547      -0.0677      0.3607     -0.55093
        53548      -0.0673      0.3623     -0.55037
        53549      -0.0668      0.3640     -0.54994
        53550      -0.0662      0.3656     -0.54947
        53551      -0.0657      0.3673     -0.54884
        53552      -0.0651      0.3689     -0.54798
        53553      -0.0645      0.3705     -0.54689
        53554      -0.0639      0.3721     -0.54560
        53555      -0.0633      0.3738     -0.54414
        53556      -0.0626      0.3754     -0.54257
        53557      -0.0620      0.3770     -0.54101
        53558      -0.0613      0.3786     -0.53952
        53559      -0.0605      0.3801     -0.53819
        53560      -0.0598      0.3817     -0.53705
        53561      -0.0590      0.3833     -0.53611
        53562      -0.0583      0.3848     -0.53535
        53563      -0.0575      0.3864     -0.53475
        53564      -0.0566      0.3879     -0.53425
        53565      -0.0558      0.3895     -0.53374
        53566      -0.0549      0.3910     -0.53315
        53567      -0.0541      0.3925     -0.53243
        53568      -0.0532      0.3940     -0.53152
        53569      -0.0523      0.3955     -0.53042
        53570      -0.0513      0.3969     -0.52913
        53571      -0.0504      0.3984     -0.52776
        53572      -0.0494      0.3998     -0.52644
        53573      -0.0485      0.4013     -0.52532
        53574      -0.0475      0.4027     -0.52451
        53575      -0.0464      0.4041     -0.52400
        53576      -0.0454      0.4055     -0.52377
        53577      -0.0444      0.4069     -0.52366
        53578      -0.0433      0.4083     -0.52344
        53579      -0.0423      0.4096     -0.52299
        53580      -0.0412      0.4110     -0.52228
        53581      -0.0401      0.4123     -0.52130
        53582      -0.0390      0.4136     -0.52010
        53583      -0.0378      0.4149     -0.51872
        53584      -0.0367      0.4162     -0.51725
        53585      -0.0356      0.4175     -0.51578
        53586      -0.0344      0.4188     -0.51436
        53587      -0.0332      0.4200     -0.51310
        53588      -0.0320      0.4212     -0.51204
        53589      -0.0309      0.4224     -0.51120
        53590      -0.0297      0.4236     -0.51055
        53591      -0.0284      0.4248     -0.51006
        53592      -0.0272      0.4260     -0.50966
        53593      -0.0260      0.4271     -0.50922
        53594      -0.0247      0.4283     -0.50872
        53595      -0.0235      0.4294     -0.50809
        53596      -0.0222      0.4305     -0.50729
        53597      -0.0210      0.4315     -0.50638
        53598      -0.0197      0.4326     -0.50535
        53599      -0.0184      0.4336     -0.50431
        53600      -0.0171      0.4347     -0.50339
        53601      -0.0158      0.4357     -0.50273
        53602      -0.0145      0.4367     -0.50244
        53603      -0.0132      0.4376     -0.50247
        53604      -0.0119      0.4386     -0.50267
        53605      -0.0106      0.4395     -0.50286
        53606      -0.0093      0.4404     -0.50287
        53607      -0.0079      0.4413     -0.50263
        53608      -0.0066      0.4422     -0.50217
