#
#  Stripped version of finals.daily.orig file
#
#
#          Bull A     Bull A      Bull A      Bull B      Bull B      Bull B
#  MJD     PM-x       PM-y        UT1-UTC     PM-x        PM-y        UT1-UTC
#
53480.00  -0.053852   0.273907  -0.5861727    0.000000    0.000000    0.0000000
53481.00  -0.054932   0.276138  -0.5874000    0.000000    0.000000    0.0000000
53482.00  -0.055785   0.278356  -0.5887508    0.000000    0.000000    0.0000000
53483.00  -0.056771   0.280694  -0.5901790    0.000000    0.000000    0.0000000
53484.00  -0.057675   0.283027  -0.5916199    0.000000    0.000000    0.0000000
53485.00  -0.058387   0.284998  -0.5929329    0.000000    0.000000    0.0000000
53486.00  -0.058807   0.286670  -0.5940239    0.000000    0.000000    0.0000000
53487.00  -0.058834   0.288337  -0.5948463    0.000000    0.000000    0.0000000
53488.00  -0.058468   0.290172  -0.5954614    0.000000    0.000000    0.0000000
53489.00  -0.057836   0.292253  -0.5959457    0.000000    0.000000    0.0000000
53490.00  -0.057279   0.294632  -0.5964394    0.000000    0.000000    0.0000000
53491.00  -0.057256   0.297300  -0.5970769    0.000000    0.000000    0.0000000
53492.00  -0.057639   0.299933  -0.5980051    0.000000    0.000000    0.0000000
53493.00  -0.058151   0.302373  -0.5992687    0.000000    0.000000    0.0000000
53494.00  -0.058700   0.304712  -0.6007248    0.000000    0.000000    0.0000000
53495.00  -0.059272   0.306960  -0.6022420    0.000000    0.000000    0.0000000
53496.00  -0.059856   0.309127  -0.6037093    0.000000    0.000000    0.0000000
53497.00  -0.060443   0.311221  -0.6050339    0.000000    0.000000    0.0000000
53498.00  -0.061026   0.313251  -0.6061046    0.000000    0.000000    0.0000000
53499.00  -0.061597   0.315222  -0.6069056    0.000000    0.000000    0.0000000
53500.00  -0.062154   0.317143  -0.6074547    0.000000    0.000000    0.0000000
53501.00  -0.062691   0.319018  -0.6077615    0.000000    0.000000    0.0000000
53502.00  -0.063205   0.320852  -0.6079384    0.000000    0.000000    0.0000000
53503.00  -0.063695   0.322650  -0.6080889    0.000000    0.000000    0.0000000
53504.00  -0.064157   0.324417  -0.6082912    0.000000    0.000000    0.0000000
53505.00  -0.064591   0.326156  -0.6085899    0.000000    0.000000    0.0000000
53506.00  -0.064995   0.327871  -0.6090260    0.000000    0.000000    0.0000000
53507.00  -0.065369   0.329564  -0.6096200    0.000000    0.000000    0.0000000
53508.00  -0.065711   0.331238  -0.6103620    0.000000    0.000000    0.0000000
53509.00  -0.066022   0.332895  -0.6112057    0.000000    0.000000    0.0000000
53510.00  -0.066301   0.334538  -0.6120710    0.000000    0.000000    0.0000000
53511.00  -0.066547   0.336169  -0.6128774    0.000000    0.000000    0.0000000
53512.00  -0.066762   0.337788  -0.6135321    0.000000    0.000000    0.0000000
53513.00  -0.066944   0.339398  -0.6139426    0.000000    0.000000    0.0000000
53514.00  -0.067094   0.340999  -0.6140704    0.000000    0.000000    0.0000000
53515.00  -0.067212   0.342593  -0.6139338    0.000000    0.000000    0.0000000
53516.00  -0.067298   0.344181  -0.6136271    0.000000    0.000000    0.0000000
53517.00  -0.067353   0.345763  -0.6132988    0.000000    0.000000    0.0000000
53518.00  -0.067376   0.347339  -0.6130910    0.000000    0.000000    0.0000000
53519.00  -0.067368   0.348912  -0.6130983    0.000000    0.000000    0.0000000
53520.00  -0.067329   0.350480  -0.6133377    0.000000    0.000000    0.0000000
53521.00  -0.067259   0.352045  -0.6137530    0.000000    0.000000    0.0000000
53522.00  -0.067158   0.353606  -0.6142476    0.000000    0.000000    0.0000000
53523.00  -0.067028   0.355164  -0.6147019    0.000000    0.000000    0.0000000
53524.00  -0.066867   0.356719  -0.6150115    0.000000    0.000000    0.0000000
53525.00  -0.066677   0.358271  -0.6151081    0.000000    0.000000    0.0000000
53526.00  -0.066458   0.359820  -0.6149565    0.000000    0.000000    0.0000000
53527.00  -0.066209   0.361365  -0.6145663    0.000000    0.000000    0.0000000
53528.00  -0.065932   0.362908  -0.6139974    0.000000    0.000000    0.0000000
53529.00  -0.065626   0.364447  -0.6133312    0.000000    0.000000    0.0000000
53530.00  -0.065291   0.365983  -0.6126499    0.000000    0.000000    0.0000000
53531.00  -0.064929   0.367516  -0.6120298    0.000000    0.000000    0.0000000
53532.00  -0.064539   0.369045  -0.6115355    0.000000    0.000000    0.0000000
53533.00  -0.064122   0.370569  -0.6112118    0.000000    0.000000    0.0000000
53534.00  -0.063678   0.372090  -0.6110774    0.000000    0.000000    0.0000000
53535.00  -0.063206   0.373606  -0.6111281    0.000000    0.000000    0.0000000
53536.00  -0.062731   0.375118  -0.6113333    0.000000    0.000000    0.0000000
53537.00  -0.062204   0.376624  -0.6116363    0.000000    0.000000    0.0000000
53538.00  -0.061652   0.378126  -0.6119672    0.000000    0.000000    0.0000000
53539.00  -0.061075   0.379621  -0.6122419    0.000000    0.000000    0.0000000
53540.00  -0.060472   0.381111  -0.6123670    0.000000    0.000000    0.0000000
53541.00  -0.059845   0.382595  -0.6122687    0.000000    0.000000    0.0000000
53542.00  -0.059194   0.384072  -0.6119327    0.000000    0.000000    0.0000000
53543.00  -0.058518   0.385543  -0.6114171    0.000000    0.000000    0.0000000
53544.00  -0.057818   0.387006  -0.6108419    0.000000    0.000000    0.0000000
53545.00  -0.057095   0.388462  -0.6103562    0.000000    0.000000    0.0000000
53546.00  -0.056348   0.389911  -0.6100804    0.000000    0.000000    0.0000000
53547.00  -0.055579   0.391351  -0.6100654    0.000000    0.000000    0.0000000
53548.00  -0.054787   0.392783  -0.6102740    0.000000    0.000000    0.0000000
53549.00  -0.053973   0.394206  -0.6106035    0.000000    0.000000    0.0000000
53550.00  -0.053137   0.395620  -0.6109243    0.000000    0.000000    0.0000000
53551.00  -0.052279   0.397025  -0.6111159    0.000000    0.000000    0.0000000
53552.00  -0.051400   0.398421  -0.6110951    0.000000    0.000000    0.0000000
53553.00  -0.050500   0.399806  -0.6108246    0.000000    0.000000    0.0000000
53554.00  -0.049580   0.401181  -0.6103105    0.000000    0.000000    0.0000000
53555.00  -0.048640   0.402546  -0.6095938    0.000000    0.000000    0.0000000
53556.00  -0.047679   0.403899  -0.6087372    0.000000    0.000000    0.0000000
53557.00  -0.046700   0.405242  -0.6078156    0.000000    0.000000    0.0000000
53558.00  -0.045701   0.406573  -0.6069068    0.000000    0.000000    0.0000000
53559.00  -0.044683   0.407892  -0.6060834    0.000000    0.000000    0.0000000
53560.00  -0.043647   0.409199  -0.6053990    0.000000    0.000000    0.0000000
53561.00  -0.042594   0.410494  -0.6048821    0.000000    0.000000    0.0000000
53562.00  -0.041522   0.411776  -0.6045336    0.000000    0.000000    0.0000000
53563.00  -0.040434   0.413046  -0.6043315    0.000000    0.000000    0.0000000
53564.00  -0.039328   0.414302  -0.6042312    0.000000    0.000000    0.0000000
53565.00  -0.038206   0.415545  -0.6041737    0.000000    0.000000    0.0000000
53566.00  -0.037068   0.416774  -0.6040854    0.000000    0.000000    0.0000000
53567.00  -0.035915   0.417989  -0.6038884    0.000000    0.000000    0.0000000
53568.00  -0.034746   0.419190  -0.6035134    0.000000    0.000000    0.0000000
53569.00  -0.033562   0.420376  -0.6029275    0.000000    0.000000    0.0000000
53570.00  -0.032364   0.421547  -0.6021579    0.000000    0.000000    0.0000000
53571.00  -0.031152   0.422704  -0.6013029    0.000000    0.000000    0.0000000
53572.00  -0.029926   0.423845  -0.6005091    0.000000    0.000000    0.0000000
53573.00  -0.028687   0.424971  -0.5999238    0.000000    0.000000    0.0000000
53574.00  -0.027434   0.426081  -0.5996363    0.000000    0.000000    0.0000000
53575.00  -0.026170   0.427175  -0.5996429    0.000000    0.000000    0.0000000
53576.00  -0.024893   0.428253  -0.5998473    0.000000    0.000000    0.0000000
53577.00  -0.023604   0.429314  -0.6000987    0.000000    0.000000    0.0000000
53578.00  -0.022304   0.430358  -0.6002451    0.000000    0.000000    0.0000000
53579.00  -0.020993   0.431386  -0.6001768    0.000000    0.000000    0.0000000
53580.00  -0.019672   0.432397  -0.5998445    0.000000    0.000000    0.0000000
53581.00  -0.018341   0.433247  -0.5992544    0.000000    0.000000    0.0000000
53582.00  -0.016999   0.434231  -0.5984530    0.000000    0.000000    0.0000000
53583.00  -0.015649   0.435197  -0.5975086    0.000000    0.000000    0.0000000
