#
#  Stripped version of finals.all.orig file
#
#
#            Bull A      Bull A      Bull B     Bull B
#  MJD         dX          dY          dX         dY
#
48716.00      0.047      0.007      -0.238      -0.598
48717.00     -0.017      0.171      -0.114      -0.679
48718.00     -0.097      0.309      -0.048      -0.777
48719.00     -0.110      0.350      -0.041      -0.822
48720.00     -0.034      0.283      -0.037      -0.683
48721.00      0.057      0.105      -0.077      -0.564
48722.00      0.123     -0.034      -0.147      -0.285
48723.00      0.146     -0.230      -0.263      -0.003
48724.00      0.130     -0.469      -0.403       0.259
48725.00      0.090     -0.633      -0.479       0.178
48726.00      0.030     -0.584      -0.533      -0.037
48727.00     -0.050     -0.286      -0.488      -0.292
48728.00     -0.110     -0.004      -0.421      -0.457
48729.00     -0.160      0.155      -0.374      -0.241
48730.00     -0.209      0.204      -0.333       0.039
48731.00     -0.252      0.184      -0.344       0.179
48732.00     -0.288      0.137      -0.379       0.240
48733.00     -0.322      0.103      -0.381       0.038
48734.00     -0.333      0.048      -0.312      -0.191
48735.00     -0.309     -0.051      -0.199      -0.304
48736.00     -0.257     -0.152      -0.088      -0.368
48737.00     -0.183     -0.226      -0.117      -0.285
48738.00     -0.115     -0.253      -0.213      -0.294
48739.00     -0.082     -0.241      -0.278      -0.435
48740.00     -0.096     -0.242      -0.244      -0.623
48741.00     -0.126     -0.285      -0.164      -0.654
48742.00     -0.085     -0.283      -0.061      -0.723
48743.00      0.011     -0.203       0.025      -0.710
48744.00      0.095     -0.081       0.097      -0.861
48745.00      0.149      0.020       0.088      -1.011
48746.00      0.170      0.049       0.100      -0.963
48747.00      0.147     -0.038       0.101      -0.909
48748.00      0.090     -0.217       0.004      -0.738
48749.00      0.060     -0.290      -0.072      -0.539
48750.00      0.070     -0.238      -0.121      -0.510
48751.00      0.117     -0.155      -0.130      -0.391
48752.00      0.193     -0.081      -0.131      -0.368
48753.00      0.288     -0.025      -0.150      -0.306
48754.00      0.391      0.022      -0.132      -0.360
48755.00      0.446      0.075      -0.073      -0.588
48756.00      0.400      0.169      -0.000      -0.751
48757.00      0.305      0.192       0.123      -0.629
48758.00      0.194     -0.009       0.153      -0.437
48759.00      0.096     -0.279       0.073      -0.229
48760.00      0.071     -0.331       0.013      -0.172
48761.00      0.126     -0.188      -0.083      -0.403
48762.00      0.202     -0.053      -0.122      -0.587
48763.00      0.211      0.035      -0.179      -0.646
48764.00      0.094      0.060      -0.258      -0.522
48765.00     -0.011      0.059      -0.344      -0.327
48766.00     -0.049      0.063      -0.466      -0.227
48767.00     -0.058      0.060      -0.621      -0.268
48768.00     -0.094      0.038      -0.626      -0.342
48769.00     -0.175     -0.028      -0.565      -0.335
48770.00     -0.238     -0.113      -0.395      -0.280
48771.00     -0.220     -0.160      -0.239      -0.319
48772.00     -0.147     -0.062      -0.106      -0.402
48773.00     -0.078      0.063      -0.029      -0.583
48774.00     -0.052      0.041      -0.153      -0.870
48775.00     -0.032     -0.033       0.099      -0.567
48776.00      0.030     -0.108       0.164      -0.284
48777.00      0.064     -0.239       0.182      -0.101
48778.00      0.066     -0.311       0.243      -0.193
48779.00      0.121     -0.316       0.339      -0.196
48780.00      0.234     -0.257       0.403      -0.101
48781.00      0.355     -0.143       0.342      -0.126
48782.00      0.431      0.011       0.165      -0.146
48783.00      0.437      0.193       0.009      -0.302
48784.00      0.384      0.350      -0.130      -0.564
48785.00      0.283      0.412      -0.128      -0.861
48786.00      0.153      0.303      -0.052      -1.052
48787.00      0.030     -0.034       0.078      -1.081
48788.00     -0.059     -0.391       0.196      -1.166
48789.00     -0.154     -0.524       0.309      -1.198
48790.00     -0.225     -0.527       0.401      -1.250
48791.00     -0.159     -0.485       0.469      -1.182
48792.00     -0.040     -0.472       0.439      -0.975
48793.00     -0.039     -0.507       0.391      -0.557
48794.00     -0.099     -0.201       0.218      -0.270
48795.00     -0.049      0.089      -0.032      -0.095
48796.00      0.068      0.075      -0.323      -0.051
48797.00      0.090     -0.023      -0.523      -0.008
48798.00      0.047     -0.150      -0.597       0.015
48799.00     -0.008     -0.228      -0.511      -0.162
48800.00     -0.030     -0.199      -0.386      -0.448
48801.00     -0.023     -0.104      -0.226      -0.892
48802.00     -0.018     -0.010      -0.166      -1.033
48803.00     -0.050      0.034      -0.180      -0.933
48804.00     -0.126     -0.029      -0.154      -0.844
48805.00     -0.192     -0.219      -0.128      -0.992
48806.00     -0.204     -0.389      -0.221      -1.233
48807.00     -0.167     -0.422      -0.227      -1.277
48808.00     -0.113     -0.362      -0.209      -1.131
48809.00     -0.067     -0.273      -0.241      -1.114
48810.00     -0.058     -0.219      -0.344      -1.027
48811.00     -0.090     -0.233      -0.456      -0.943
48812.00     -0.094     -0.234      -0.528      -0.692
48813.00     -0.099     -0.191      -0.562      -0.553
48814.00     -0.108     -0.102      -0.419      -0.458
48815.00     -0.106     -0.005      -0.185      -0.378
48816.00     -0.093      0.068      -0.033      -0.303
48817.00     -0.086      0.088       0.063      -0.300
48818.00     -0.103      0.045      -0.036      -0.435
48819.00     -0.129     -0.053      -0.172      -0.751
48820.00     -0.136     -0.188      -0.340      -0.888
48821.00     -0.099     -0.205      -0.441      -0.755
48822.00     -0.051     -0.125      -0.601      -0.628
48823.00     -0.013     -0.049      -0.862      -0.544
48824.00      0.009     -0.066      -1.110      -0.520
48825.00     -0.003     -0.147      -1.280      -0.453
48826.00     -0.025     -0.144      -1.266      -0.304
48827.00     -0.015     -0.095      -1.025      -0.297
48828.00      0.042     -0.093      -0.706      -0.368
48829.00      0.144     -0.141      -0.459      -0.637
48830.00      0.237     -0.183      -0.370      -0.671
48831.00      0.232     -0.207      -0.335      -0.512
48832.00      0.149     -0.261      -0.300      -0.381
48833.00      0.049     -0.309      -0.282      -0.274
48834.00     -0.048     -0.297      -0.168      -0.403
48835.00     -0.157     -0.217      -0.061      -0.372
48836.00     -0.253     -0.172      -0.020      -0.274
48837.00     -0.267     -0.169       0.007      -0.317
48838.00     -0.194     -0.163       0.087      -0.348
48839.00     -0.128     -0.168       0.000      -0.289
48840.00     -0.103     -0.123      -0.162      -0.220
48841.00     -0.106     -0.089      -0.394      -0.038
48842.00     -0.115     -0.129      -0.391       0.071
48843.00     -0.114     -0.150      -0.276      -0.076
48844.00     -0.076     -0.142       0.023      -0.256
48845.00     -0.018     -0.225       0.100      -0.233
48846.00     -0.013     -0.365       0.027      -0.180
48847.00     -0.034     -0.408      -0.142      -0.414
48848.00     -0.104     -0.298      -0.304      -0.605
48849.00     -0.200     -0.161      -0.471      -0.495
48850.00     -0.291     -0.087      -0.599      -0.395
48851.00     -0.350     -0.078      -0.728      -0.375
48852.00     -0.340     -0.136      -0.901      -0.464
48853.00     -0.259     -0.232      -0.975      -0.524
48854.00     -0.178     -0.254      -0.798      -0.657
48855.00     -0.146     -0.203      -0.420      -0.758
48856.00     -0.174     -0.154       0.018      -0.810
48857.00     -0.103     -0.178       0.300      -0.913
48858.00      0.015     -0.290       0.421      -0.860
48859.00      0.058     -0.394       0.365      -0.639
48860.00      0.023     -0.380       0.222      -0.520
48861.00     -0.066     -0.249       0.099      -0.622
48862.00     -0.156     -0.109       0.058      -0.594
48863.00     -0.192      0.113      -0.109      -0.612
48864.00     -0.167      0.125      -0.355      -0.511
48865.00     -0.157     -0.063      -0.549      -0.606
48866.00     -0.156     -0.178      -0.600      -0.916
48867.00     -0.118     -0.149      -0.493      -1.105
48868.00     -0.070     -0.205      -0.479      -1.134
48869.00     -0.003     -0.391      -0.587      -0.869
48870.00      0.083     -0.513      -0.632      -0.860
48871.00      0.143     -0.510      -0.378      -0.757
48872.00      0.130     -0.459      -0.088      -0.719
48873.00      0.020     -0.464       0.126      -0.537
48874.00     -0.172     -0.538       0.118      -0.442
48875.00     -0.339     -0.529       0.018      -0.587
48876.00     -0.423     -0.431      -0.122      -0.611
48877.00     -0.426     -0.359      -0.247      -0.688
48878.00     -0.367     -0.319      -0.410      -0.596
48879.00     -0.274     -0.270      -0.451      -0.478
48880.00     -0.161     -0.187      -0.575      -0.590
48881.00     -0.059     -0.075      -0.557      -0.938
48882.00     -0.032      0.007      -0.468      -1.002
48883.00     -0.062      0.020      -0.329      -1.083
48884.00     -0.098     -0.010      -0.112      -1.082
48885.00     -0.135     -0.067       0.102      -0.938
48886.00     -0.168     -0.136       0.135      -0.776
48887.00     -0.189     -0.183       0.063      -0.459
48888.00     -0.192     -0.171       0.000      -0.417
48889.00     -0.185     -0.048      -0.008      -0.497
48890.00     -0.190      0.070       0.034      -0.625
48891.00     -0.228      0.044      -0.020      -0.657
48892.00     -0.280     -0.092      -0.208      -0.482
48893.00     -0.320     -0.267      -0.383      -0.531
48894.00     -0.328     -0.356      -0.399      -0.646
48895.00     -0.315     -0.286      -0.252      -0.808
48896.00     -0.296     -0.147      -0.116      -0.944
48897.00     -0.265     -0.055      -0.101      -0.866
48898.00     -0.220     -0.050      -0.091      -0.716
48899.00     -0.189     -0.077      -0.003      -0.763
48900.00     -0.194     -0.120      -0.005      -0.742
48901.00     -0.242     -0.189      -0.013      -0.680
48902.00     -0.328     -0.278      -0.200      -0.488
48903.00     -0.428     -0.376      -0.407      -0.416
48904.00     -0.508     -0.482      -0.653      -0.356
48905.00     -0.534     -0.541      -0.833      -0.354
48906.00     -0.501     -0.516      -0.877      -0.300
48907.00     -0.425     -0.411      -0.857      -0.371
48908.00     -0.311     -0.260      -0.749      -0.446
48909.00     -0.178     -0.107      -0.529      -0.805
48910.00     -0.092      0.018      -0.309      -1.044
48911.00     -0.084      0.095      -0.062      -1.068
48912.00     -0.145      0.100       0.066      -0.968
48913.00     -0.234      0.055       0.207      -0.799
48914.00     -0.298      0.005       0.260      -0.529
48915.00     -0.284      0.004       0.226      -0.137
48916.00     -0.149      0.044       0.154      -0.013
48917.00      0.027      0.114       0.087       0.021
48918.00      0.146      0.270      -0.002      -0.111
48919.00      0.150      0.523      -0.091      -0.199
48920.00      0.057      0.676      -0.240      -0.057
48921.00     -0.075      0.650      -0.396      -0.008
48922.00     -0.186      0.522      -0.417      -0.044
48923.00     -0.245      0.369      -0.247      -0.230
48924.00     -0.260      0.191      -0.056      -0.494
48925.00     -0.222     -0.032       0.050      -0.740
48926.00     -0.135     -0.247       0.140      -0.820
48927.00     -0.060     -0.285       0.202      -0.925
48928.00     -0.032     -0.196       0.223      -0.671
48929.00     -0.057     -0.187       0.151      -0.592
48930.00     -0.121     -0.324       0.308      -0.535
48931.00     -0.175     -0.394       0.153      -0.520
48932.00     -0.218     -0.322      -0.047      -0.632
48933.00     -0.252     -0.259      -0.251      -0.659
48934.00     -0.271     -0.252      -0.475      -0.830
48935.00     -0.261     -0.219      -0.658      -0.987
48936.00     -0.207     -0.103      -0.583      -1.116
48937.00     -0.107      0.060      -0.403      -1.224
48938.00     -0.003      0.070      -0.176      -1.115
48939.00      0.084     -0.162      -0.072      -0.774
48940.00      0.147     -0.622      -0.000      -0.469
48941.00      0.119     -0.756      -0.016      -0.177
48942.00     -0.002     -0.435      -0.012       0.071
48943.00     -0.144     -0.085      -0.044       0.272
48944.00     -0.260      0.008      -0.216       0.200
48945.00     -0.351     -0.048      -0.460       0.020
48946.00     -0.424     -0.125      -0.690      -0.342
48947.00     -0.488     -0.111      -0.711      -0.662
48948.00     -0.550     -0.003      -0.702      -0.916
48949.00     -0.599      0.133      -0.646      -0.896
48950.00     -0.618      0.244      -0.504      -1.034
48951.00     -0.594      0.306      -0.306      -0.995
48952.00     -0.540      0.322      -0.118      -1.141
48953.00     -0.468      0.290       0.099      -1.294
48954.00     -0.392      0.213       0.307      -1.394
48955.00     -0.320      0.114       0.437      -1.132
48956.00     -0.265      0.001       0.476      -0.725
48957.00     -0.249     -0.131       0.448      -0.387
48958.00     -0.253     -0.234       0.318      -0.221
48959.00     -0.190     -0.187       0.184      -0.028
48960.00     -0.137      0.010      -0.064      -0.041
48961.00     -0.154      0.162      -0.292      -0.029
48962.00     -0.213      0.211      -0.427      -0.259
48963.00     -0.249      0.217      -0.502      -0.612
48964.00     -0.216      0.216      -0.508      -0.847
48965.00     -0.117      0.176      -0.490      -1.102
48966.00     -0.034     -0.006      -0.434      -1.055
48967.00     -0.007     -0.234      -0.393      -0.767
48968.00     -0.047     -0.348      -0.375      -0.519
48969.00     -0.128     -0.319      -0.352      -0.527
48970.00     -0.210     -0.159      -0.239      -0.545
48971.00     -0.254      0.138      -0.177      -0.659
48972.00     -0.260      0.437      -0.116      -0.429
48973.00     -0.227      0.790      -0.218      -0.508
48974.00     -0.160      0.875      -0.306      -0.539
48975.00     -0.074      0.629      -0.403      -0.686
48976.00      0.003      0.291      -0.370      -0.752
48977.00      0.025      0.057      -0.298      -0.585
48978.00     -0.003     -0.047      -0.265      -0.537
48979.00     -0.045     -0.061      -0.288      -0.440
48980.00     -0.079     -0.055      -0.309      -0.402
48981.00     -0.101     -0.061      -0.264      -0.513
48982.00     -0.115     -0.081      -0.223      -0.546
48983.00     -0.113     -0.105      -0.164      -0.553
48984.00     -0.087     -0.123      -0.156      -0.292
48985.00     -0.036     -0.139      -0.129      -0.060
48986.00      0.043     -0.149      -0.013       0.013
48987.00      0.158     -0.118       0.023       0.005
48988.00      0.219     -0.049      -0.013      -0.087
48989.00      0.187      0.020      -0.020      -0.087
48990.00      0.099      0.063       0.035      -0.168
48991.00     -0.001      0.074       0.064      -0.479
48992.00     -0.071      0.042       0.150      -0.736
48993.00     -0.088     -0.021       0.153      -0.941
48994.00     -0.076     -0.025       0.100      -0.797
48995.00     -0.067      0.036      -0.025      -0.476
48996.00     -0.077      0.122      -0.193      -0.074
48997.00     -0.102      0.188      -0.358       0.028
48998.00     -0.140      0.214      -0.449      -0.046
48999.00     -0.197      0.184      -0.488      -0.152
49000.00     -0.269      0.073      -0.475      -0.205
49001.00     -0.337     -0.078      -0.501      -0.289
49002.00     -0.385     -0.193      -0.555      -0.371
49003.00     -0.395     -0.182      -0.478      -0.532
49004.00     -0.365     -0.069      -0.325      -0.641
49005.00     -0.309      0.051      -0.115      -0.611
49006.00     -0.254      0.084       0.053      -0.588
49007.00     -0.213      0.006       0.059      -0.511
49008.00     -0.181     -0.043       0.010      -0.414
49009.00     -0.164     -0.018      -0.075      -0.319
49010.00     -0.183      0.033      -0.173      -0.293
49011.00     -0.229      0.093      -0.252      -0.335
49012.00     -0.269      0.152      -0.346      -0.148
49013.00     -0.274      0.189      -0.436      -0.034
49014.00     -0.231      0.123      -0.496       0.002
49015.00     -0.176     -0.063      -0.504      -0.018
49016.00     -0.137     -0.094      -0.603      -0.145
49017.00     -0.087     -0.059      -0.694      -0.279
49018.00     -0.026     -0.064      -0.585      -0.250
49019.00      0.024     -0.067      -0.443      -0.428
49020.00      0.039     -0.036       5.621       2.700
49021.00      0.022      0.029      -0.131      -0.926
49022.00      0.048      0.096       0.004      -0.909
49023.00      0.136      0.182       0.030      -0.459
49024.00      0.145      0.191      -0.050      -0.119
49025.00      0.081      0.138      -0.175       0.036
49026.00     -0.005      0.065      -0.266      -0.247
49027.00     -0.095      0.041      -0.197      -0.409
49028.00     -0.183      0.060      -0.210      -0.510
49029.00     -0.234      0.055      -0.273      -0.482
49030.00     -0.224      0.054      -0.302      -0.532
49031.00     -0.215      0.017      -0.384      -0.521
49032.00     -0.227     -0.031      -0.406      -0.530
49033.00     -0.241     -0.081      -0.377      -0.365
49034.00     -0.253     -0.156      -0.309      -0.431
49035.00     -0.251     -0.208      -0.160      -0.409
49036.00     -0.212     -0.136      -0.150      -0.321
49037.00     -0.165     -0.022      -0.173      -0.253
49038.00     -0.159      0.049      -0.233      -0.148
49039.00     -0.191      0.069      -0.288      -0.289
49040.00     -0.227      0.066      -0.349      -0.357
49041.00     -0.227      0.067      -0.405      -0.251
49042.00     -0.172      0.098      -0.319      -0.220
49043.00     -0.089      0.161      -0.300      -0.098
49044.00     -0.019      0.245      -0.249      -0.241
49045.00     -0.012      0.329      -0.308      -0.280
49046.00     -0.064      0.394      -0.235      -0.168
49047.00     -0.132      0.431      -0.102      -0.201
49048.00     -0.175      0.413       0.048      -0.300
49049.00     -0.172      0.319       0.101      -0.396
49050.00     -0.155      0.237       0.240      -0.554
49051.00     -0.163      0.243       0.096      -0.201
49052.00     -0.197      0.214      -0.135      -0.004
49053.00     -0.235      0.082      -0.424       0.043
49054.00     -0.241     -0.084      -0.467      -0.358
49055.00     -0.211     -0.144      -0.487      -0.619
49056.00     -0.186     -0.039      -0.479      -0.552
49057.00     -0.204      0.104      -0.485      -0.420
49058.00     -0.231      0.211      -0.457      -0.306
49059.00     -0.224      0.273      -0.416      -0.184
49060.00     -0.179      0.289      -0.391      -0.188
49061.00     -0.102      0.254      -0.282      -0.112
49062.00     -0.007      0.163      -0.149       0.008
49063.00      0.073      0.064       0.110      -0.113
49064.00      0.100      0.076       0.232      -0.155
49065.00      0.069      0.117       0.201      -0.168
49066.00      0.016      0.152       0.060      -0.024
49067.00     -0.045      0.202      -0.114      -0.160
49068.00     -0.106      0.268      -0.171      -0.271
49069.00     -0.150      0.349      -0.235      -0.302
49070.00     -0.176      0.396      -0.351      -0.137
49071.00     -0.213      0.257      -0.367      -0.030
49072.00     -0.252      0.154      -0.464      -0.027
49073.00     -0.254      0.120      -0.535      -0.226
49074.00     -0.222      0.110      -0.475      -0.331
49075.00     -0.172      0.123      -0.334      -0.416
49076.00     -0.120      0.148      -0.086      -0.340
49077.00     -0.082      0.147       0.067      -0.425
49078.00     -0.064      0.111       0.133      -0.282
49079.00     -0.060      0.069       0.065       0.032
49080.00     -0.070      0.046       0.196       0.176
49081.00     -0.087      0.024      -0.012       0.074
49082.00     -0.092     -0.005      -0.209      -0.190
49083.00     -0.069     -0.003      -0.230      -0.398
49084.00     -0.036      0.058      -0.274      -0.277
49085.00     -0.021      0.131      -0.290      -0.193
49086.00     -0.033      0.156      -0.297      -0.191
49087.00     -0.052      0.132      -0.341      -0.203
49088.00     -0.056      0.096      -0.357      -0.222
49089.00     -0.033      0.094      -0.358      -0.318
49090.00      0.016      0.174      -0.191      -0.349
49091.00      0.081      0.310       0.017      -0.328
49092.00      0.146      0.341       0.181      -0.298
49093.00      0.171      0.172       0.123      -0.253
49094.00      0.176      0.015      -0.031      -0.167
49095.00      0.156     -0.040      -0.159      -0.287
49096.00      0.101     -0.054      -0.201      -0.425
49097.00      0.019     -0.099      -0.183      -0.524
49098.00     -0.053     -0.135      -0.102      -0.532
49099.00     -0.020     -0.012      -0.050      -0.466
49100.00      0.042      0.018       0.030      -0.383
49101.00      0.028      0.031       0.064      -0.628
49102.00     -0.075      0.082       0.126      -0.821
49103.00     -0.226      0.117       0.188      -0.780
49104.00     -0.373      0.082       0.339      -0.797
49105.00     -0.443     -0.023       0.401      -0.612
49106.00     -0.338     -0.040       0.308      -0.549
49107.00     -0.141      0.017       0.108      -0.336
49108.00      0.033      0.109      -0.155      -0.346
49109.00      0.150      0.204      -0.357      -0.427
49110.00      0.206      0.268      -0.485      -0.776
49111.00      0.197      0.265      -0.567      -0.858
49112.00      0.122      0.161      -0.653      -0.748
49113.00     -0.018      0.006      -0.696      -0.580
49114.00     -0.192     -0.068      -0.719      -0.503
49115.00     -0.306     -0.128      -0.670      -0.525
49116.00     -0.320     -0.227      -0.618      -0.757
49117.00     -0.258     -0.310      -0.499      -0.756
49118.00     -0.154     -0.316      -0.259      -0.742
49119.00     -0.046     -0.212       0.056      -0.510
49120.00      0.044     -0.015       0.315      -0.112
49121.00      0.119      0.186       0.397       0.055
49122.00      0.157      0.317       0.252       0.194
49123.00      0.146      0.366       0.062       0.087
49124.00      0.117      0.320      -0.038      -0.171
49125.00      0.115      0.148      -0.116      -0.347
49126.00      0.160     -0.123      -0.180      -0.493
49127.00      0.205     -0.267      -0.211      -0.473
49128.00      0.220     -0.229      -0.229      -0.579
49129.00      0.201     -0.099      -0.241      -0.735
49130.00      0.145      0.049      -0.236      -0.710
49131.00      0.081      0.161      -0.197      -0.680
49132.00      0.057      0.170      -0.103      -0.563
49133.00      0.112      0.021       0.018      -0.382
49134.00      0.190     -0.201       0.153      -0.337
49135.00      0.251     -0.384       0.166      -0.124
49136.00      0.297     -0.504       0.062      -0.070
49137.00      0.330     -0.570      -0.103      -0.206
49138.00      0.343     -0.569      -0.200      -0.378
49139.00      0.325     -0.477      -0.191      -0.649
49140.00      0.268     -0.305      -0.129      -0.609
49141.00      0.175     -0.093      -0.068      -0.408
49142.00      0.076      0.088      -0.083      -0.424
49143.00     -0.002      0.185      -0.059      -0.513
49144.00     -0.049      0.204      -0.082      -0.576
49145.00     -0.057      0.153      -0.118      -0.765
49146.00     -0.018      0.050      -0.019      -0.809
49147.00      0.069     -0.087       0.097      -0.545
49148.00      0.143     -0.204       0.156      -0.160
49149.00      0.187     -0.278       0.120       0.075
49150.00      0.207     -0.283      -0.055       0.132
49151.00      0.204     -0.236      -0.182      -0.177
49152.00      0.198     -0.182      -0.269      -0.434
49153.00      0.206     -0.183      -0.271      -0.727
49154.00      0.223     -0.257      -0.164      -0.945
49155.00      0.236     -0.257      -0.052      -1.144
49156.00      0.237     -0.153       0.060      -1.246
49157.00      0.225     -0.016       0.074      -1.307
49158.00      0.206      0.090       0.079      -1.201
49159.00      0.179      0.121       0.003      -1.101
49160.00      0.138      0.017      -0.033      -0.930
49161.00      0.094     -0.223      -0.039      -0.833
49162.00      0.112     -0.318       0.077      -0.911
49163.00      0.150     -0.240       0.122      -0.819
49164.00      0.127     -0.140       0.114      -0.698
49165.00      0.060     -0.099       0.004      -0.614
49166.00     -0.015     -0.113      -0.202      -0.547
49167.00     -0.062     -0.127      -0.329      -0.692
49168.00     -0.059     -0.099      -0.289      -0.672
49169.00     -0.028     -0.096      -0.167      -0.641
49170.00      0.020     -0.147      -0.058      -0.560
49171.00      0.088     -0.214       0.022      -0.458
49172.00      0.175     -0.254       0.064      -0.516
49173.00      0.261     -0.237       0.031      -0.682
49174.00      0.331     -0.141       0.062      -0.804
49175.00      0.384      0.064       0.127      -0.664
49176.00      0.421      0.371       0.163      -0.380
49177.00      0.434      0.508       0.090       0.007
49178.00      0.395      0.408       0.031       0.065
49179.00      0.318      0.196      -0.109      -0.005
49180.00      0.250     -0.028      -0.247      -0.086
49181.00      0.214     -0.181      -0.235      -0.181
49182.00      0.208     -0.214      -0.099      -0.216
49183.00      0.196     -0.208       0.091      -0.394
49184.00      0.202     -0.271       0.274      -0.540
49185.00      0.225     -0.237       0.321      -0.648
49186.00      0.218     -0.152       0.259      -0.530
49187.00      0.171     -0.141       0.115      -0.374
49188.00      0.105     -0.134       0.009      -0.296
49189.00      0.046     -0.092      -0.060      -0.492
49190.00      0.018     -0.072      -0.052      -0.710
49191.00      0.013     -0.067       0.065      -0.894
49192.00      0.022     -0.044       0.165      -0.924
49193.00      0.038     -0.019       0.098      -0.678
49194.00      0.055     -0.017      -0.071      -0.600
49195.00      0.078     -0.040      -0.172      -0.466
49196.00      0.110     -0.070      -0.212      -0.570
49197.00      0.134     -0.102      -0.083      -0.478
49198.00      0.132     -0.205       0.065      -0.481
49199.00      0.133     -0.280       0.228      -0.415
49200.00      0.160     -0.257       0.238      -0.436
49201.00      0.189     -0.202       0.228      -0.470
49202.00      0.185     -0.183       0.166      -0.461
49203.00      0.135     -0.251       0.074      -0.501
49204.00      0.065     -0.358      -0.004      -0.508
49205.00      0.002     -0.396       0.155      -0.207
